j_number,show,short_title,name,type,carats,shape,diamond_type,karat,gold_color,Size,was_usd,price_usd,Price ILS,NOtes,site_link,images,,
J020,TRUE,Navis,0.3ct Pear Cut Natual Diamond Ring in 14K White Gold,Ring,0.3,Pear,Natural Diamond,14K,White,7 (54),843,650,2550,,https://dianarafael.com/products/navis-0-3ct-pear-gemstone-ring,https://dianarafael.com/cdn/shop/files/J020-2.png?v=1784188411&width=600,https://dianarafael.com/cdn/shop/products/7143effe-019f-5e3f-b542-105769ed2f59.jpg?v=1682328795&width=600,https://dianarafael.com/cdn/shop/products/eed7ca41-3d93-534d-bea0-172899d6540d.jpg?v=1682328795&width=600
J1020,TRUE,Refraction Angle,14K White Gold Stud Earrings,Earrings,1.05,Round,Lab Grown Diamonds,14K,White,5 mm,606,380,1500,,,https://dianarafael.com/cdn/shop/files/E020_W_2.jpg?v=1613682912&width=600,,
J1122,TRUE,Portal,Compass Natural Black Diamond Cushion Engagement Ring,Ring,5.78,Cushion,Natural Diamond,14K,Rose,5.5 (51),2588,1400,5450,,https://dianarafael.com/products/portal-compass-natural-black-diamond-cushion-engagement-ring-in-rose-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/7cf346b0-9ae1-5370-ab9f-0bc6fd58856b.jpg?v=1733981194|https://cdn.shopify.com/s/files/1/2469/5441/files/64bad7f4-0393-56e6-9d21-42cba3bb0fb5.jpg?v=1733981194|https://cdn.shopify.com/s/files/1/2469/5441/files/33e856f9-7376-5fb8-9389-0cdaebe95d62.jpg?v=1733981194,https://dianarafael.com/cdn/shop/files/DmitriyGreen-2029.jpg?v=1714022771&width=600,
J1135,TRUE,Accretion Disc,Bezel Natural Black Diamond Emerald Earrings,Earrings,0.6,Emerald,Natural Diamond,14K,Yellow,,729,300,1150,Single Earring,https://dianarafael.com/products/accretion-disc-bezel-natural-black-diamond-emerald-engagement-ring-in-yellow-rose-white-gold,https://dianarafael.com/cdn/shop/files/80ad9307-bb69-508c-bad9-ecb6c205da27.jpg?v=1732120617&width=300,https://dianarafael.com/cdn/shop/files/P088_2.jpg?v=1718692499&width=600,
J1139,TRUE,Mystery Soirée,Geometric Natural Black Diamond Oval Engagement Ring,Ring,1.62,Oval,Natural Diamond,14K,Rose,6.75 (53),1723,750,2900,,https://dianarafael.com/products/mystery-soiree-geometric-natural-black-diamond-oval-engagement-ring-in-rose-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/476a0402-4997-5c54-beef-b3258e99a017.jpg?v=1732535359|https://cdn.shopify.com/s/files/1/2469/5441/files/5d9572d2-3624-5b03-aed6-727c05cbc384.jpg?v=1732535361|https://cdn.shopify.com/s/files/1/2469/5441/files/bc7edc1c-2311-53b3-8311-ede007e938a2.jpg?v=1732535363,,
J1144,TRUE,Astralis,Faceted Matt Solid 14K Yellow Gold Single Earring,Earrings,,,,14K,Yellow,,806,450,1750,Single Earring,https://dianarafael.com/products/astralis-faceted-matt-solid-14k-yellow-gold-single-earring,https://dianarafael.com/cdn/shop/files/43721822-06f4-53e4-b3f1-bab2ef8065e7.jpg?v=1732117822&width=600,,
J1148,TRUE,Étoile,14K Yellow Gold Plain Fan Single Earring,Earrings,,,,14K,Yellow,,380,250,950,Single Earring,https://dianarafael.com/products/etoile-statement-14k-yellow-gold-single-earrings,https://dianarafael.com/cdn/shop/files/732dfa22-5297-5100-8cd1-f569297cd8b7.jpg?v=1732118689&width=600,https://dianarafael.com/cdn/shop/files/ea2f6363-6268-53e8-8f19-83caa69339a9.jpg?v=1719302789&width=600,
J1205,TRUE,Dazzle,0.5ct Radiant Clarity Enhanced Diamond Ring,Ring,0.5,Radiant,Natural Diamond,18K,White,6 (52),1715,1150,4500,,https://dianarafael.com/products/1-carats-diamond-engagement-ring-7,https://dianarafael.com/cdn/shop/products/c56e2eef-bd2e-5e81-b58c-6bd61e57b69e_3cbc8582-76a9-4f73-85be-6e6e4a7be2e9.jpg?v=1680451628&width=700,,
J1332,TRUE,Duìqí,14K Rose Gold Spicey Black Diamond Ring,Ring,0.17,ROUnd,Natural Diamond,14K,Rose,7.5 (56),800,450,1750,,https://dianarafael.com/cdn/shop/files/J1332-1.png?v=1784188141&width=600,https://dianarafael.com/cdn/shop/files/J1332-2.png?v=1784188141&width=600,,
J1334,TRUE,Darkling,Cluster Natural Black Diamond Round Engagement Ring,Ring,0.7,Round,Natural Diamond,14K,Rose,5.75 (51.5),1572,850,3300,Sizeable to only 6 US! ,https://dianarafael.com/products/darkling-channel-wedding-ring-with-round-cut-natural-black-diamonds,https://dianarafael.com/cdn/shop/products/94d826dc-f152-595e-bd3e-533ebe52ef40.jpg?v=1670172090&width=600,,
J1335,TRUE,Moonlit Abyss,Channel Natural Black Diamond Wedding Ring,Ring,0.7,Round,Natural Diamond,18K,Yellow,5.75 (51.5),1282,950,3700,,https://dianarafael.com/products/moonlit-abyss-channel-natural-black-diamond-wedding-ring-1,https://dianarafael.com/cdn/shop/files/J1335-1.png?v=1784188384&width=600,,
J1411,TRUE,NAMA,2.48 Carats Natural Round Diamond Wedding Band,Ring,2.48,Round,Natural Diamond,14K,White,6 (52),2880,1500,5850,Not Resizeable!,https://dianarafael.com/products/kitana-2-2-carats-natural-black-diamond-emerald-cut-engagement-ring,https://dianarafael.com/cdn/shop/files/J1411-1.png?v=1784188373&width=600,,
J1412,TRUE,Malagasy,Matching Wedding Ring with Round Cut Natural Black Diamonds,Ring,0.33,Round,Natural Diamond,14K,Rose,6 (52),909,600,2350,,https://dianarafael.com/products/malagasy-matching-wedding-ring-with-round-cut-natural-black-diamonds-1,https://dianarafael.com/cdn/shop/files/J1412-1.png?v=1784188408&width=600,https://dianarafael.com/cdn/shop/products/0372d8c4-127d-5c21-b395-c2714418cce2.jpg?v=1670172092&width=600,https://dianarafael.com/cdn/shop/products/a28a2202-1231-584e-b1ab-d40fa9ccc28c.jpg?v=1670172098&width=600
J1417,TRUE,Alnilam,Natural Black Diamond Curved Wedding Ring For Him,Ring,1,Round,Natural Diamond,14K,Yellow,7 (54),1022,850,3300,,https://dianarafael.com/products/alnilam-natural-black-diamond-wedding-ring-for-him,https://cdn.shopify.com/s/files/1/2469/5441/files/6abe530c-e582-5826-b6fa-d83583263830.jpg?v=1733905608|https://cdn.shopify.com/s/files/1/2469/5441/files/1219f4d1-1e1a-52d3-b8cf-f99255bcfc2d.jpg?v=1733905608|https://cdn.shopify.com/s/files/1/2469/5441/files/2cd4ba68-6df0-563e-8942-3ff5a996dd14.jpg?v=1733905608,,
J1511,FALSE,Ulyana,Cluster Natural Black & White Diamond Oval Engagement Ring in Yellow Gold,Ring,2.2,Oval,Natural Diamond,14K,Yellow,,,769,,,https://dianarafael.com/products/cluster-natural-black-whiite-diamond-oval-engagement-ring-in-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/ChatGPTImageJun7_2026_04_32_42PM.png?v=1780839845|https://cdn.shopify.com/s/files/1/2469/5441/files/ChatGPTImageJun7_2026_04_34_38PM.png?v=1780839845|https://cdn.shopify.com/s/files/1/2469/5441/files/ChatGPTImageJun7_2026_04_33_19PM.png?v=1780839845,https://dianarafael.com/cdn/shop/products/a6b2e5bb-cdb3-5fed-8de6-b8835c6ec81a.jpg?v=1724841030&width=600,
J1522,SOLD,Draco,14K Yellow Gold Cluster Black Diamond Ring,Ring,0.37,Round,Natural Diamond,14K,Yellow,8 (57),683,400,1550,,https://dianarafael.com/products/0-38-carats-black-diamonds-white-gold-ring-1,https://dianarafael.com/cdn/shop/files/BI_-_R007_-_YG_1_edited.jpg?v=1768303394&width=600,,
J1594,TRUE,In The Dark,Double Band Natural Round cut Diamond Wedding Band,Ring,1,Round,Natural Diamond,14K,Yellow,7.75 (56.5),1612,800,3100,Not Resizeable! ,https://dianarafael.com/products/in-the-dark-double-band-wedding-ring-with-round-cut-natural-black-diamonds,https://dianarafael.com/cdn/shop/products/2284d6f6-4fce-5e2c-9158-45453ccd8727.jpg?v=1724841030&width=600,,
J1692,TRUE,Monochrome,14K Yellow Gold Black Diamond Earrings,Earrings,1,Round,Natural Diamond,14K,Yellow,,297,250,950,,https://dianarafael.com/products/1-carats-round-diamond-earrings-2,https://dianarafael.com/cdn/shop/products/a27750ce-7740-5613-9e61-577e15ac49b3.jpg?v=1610716300&width=600,,
J1707,FALSE,,14KY Gold Earrings,Earrings,,,Natural Diamond,14K,Yellow,,,259,,,,,,
J1708,FALSE,,14KY Gold Earrings,Earrings,,,Natural Diamond,14K,Yellow,,,259,,,,,https://dianarafael.com/cdn/shop/files/J1412-2.png?v=1784188408&width=600,https://dianarafael.com/cdn/shop/files/J1412-3.png?v=1784188408&width=600
J1709,FALSE,,14KY Gold Earrings,Earrings,,,Natural Diamond,14K,Yellow,,,259,,,,,,
J1710,FALSE,,14KY Gold Earrings,Earrings,,,Natural Diamond,14K,Yellow,,,259,,,,,https://dianarafael.com/cdn/shop/products/957b3e64-6276-5dd5-a168-2888c4d9f76e.jpg?v=1680449272&width=600,https://dianarafael.com/cdn/shop/products/94d88947-c7d4-5328-bad8-2385f89bf0dd.jpg?v=1680449274&width=600
J1711,FALSE,,14KY Gold Ring,Ring,,,,14K,Yellow,,,569,,,,,,
J1720,FALSE,,14KY Gold Bracelet,Bracelet,,,Natural Diamond,14K,Yellow,,3960,1929,,,,,,
J1728,FALSE,,14KY Gold Ring,Ring,,,,14K,Yellow,,,569,,,,,,
J1731,FALSE,KIntsugi,2.44ct Round Natural Black Diamond Ring,Ring,2.44,Round,Natural Diamond,14K,Yellow,,,959,,,,,,
J282,FALSE,Boötes,Solitaire Natural Black Diamond Oval Engagement Ring in Yellow Gold,Ring,3.1,Oval,Natural Diamond,18K,Yellow,,165,,,,https://dianarafael.com/products/bootes-solitaire-natural-black-diamond-oval-engagement-ring-in-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/f9cb3215-7cf6-58e8-99c5-694afac8baec.jpg?v=1723113906|https://cdn.shopify.com/s/files/1/2469/5441/files/0c12a2cf-c09f-527c-b1f3-607dce2b3802.jpg?v=1723113908|https://cdn.shopify.com/s/files/1/2469/5441/files/054b2cc2-4952-5d39-9883-ac5a686d8751.jpg?v=1723113910,https://dianarafael.com/cdn/shop/files/J1332-1.png?v=1784188141&width=600,
J286,TRUE,Evening Light,2 Carat Natural Radiant Cut Diamond Hidden Halo Engagement Ring,Ring,3.91,Radiant,Natural Diamond (Clarity Enhanced),14K,Yellow,6 (52),17198,7500,29200,,https://dianarafael.com/products/sigiza-hidden-halo-natural-radiant-diamond-engagement-ring,https://dianarafael.com/cdn/shop/products/585b4398-0ad3-5179-bf3e-0e4c712bdc04.jpg?v=1682328795&width=600,,
J287,TRUE,Dim Light,1.21ct Cushion Clarity Enhanced Diamond Ring,Ring,1.21,Cushion,Natural Diamond (Clarity Enhanced),14K,White,6 (52),5091,2700,10500,,https://dianarafael.com/cdn/shop/files/DmitriyGreen-2029.jpg?v=1714022771&width=700,https://dianarafael.com/cdn/shop/products/fc641abe-3d7b-504c-9df2-538bf9761f9c.jpg?v=1714022789&width=600,https://dianarafael.com/cdn/shop/files/E020_W_5.jpg?v=1613682912&width=600,https://dianarafael.com/cdn/shop/files/E020_W_1.jpg?v=1613682912&width=600
J789,TRUE,Whiteflash,Double Band Natural Round cut Diamond Wedding Band,Ring,1,Round,Natural Diamond,14K,White,4.75 (49),1578,900,3500,Not Rssizable!,https://dianarafael.com/products/1-carats-round-diamond-wedding-band-9,https://cdn.shopify.com/s/files/1/2469/5441/products/be68127e-493c-5620-8091-ddac18845e68.jpg?v=1675329633|https://cdn.shopify.com/s/files/1/2469/5441/files/R324_R295_2.jpg?v=1718690850|https://cdn.shopify.com/s/files/1/2469/5441/files/R324_R295_1.jpg?v=1718690850,https://dianarafael.com/cdn/shop/files/51c69021-b081-517b-bc29-33c4581734c2.jpg?v=1732120619&width=600,
J858,TRUE,Orion's Belt,4.74 Carats Diamond Tennis Necklace set in 14K Rose Gold,Necklace,4.74,Round,Lab Grown Diamond,14K,Rose,,4600,2200,8550,,https://dianarafael.com/products/orions-belt-natural-diamond-tennis-pendant-with-a-rose-gold-gold-necklace,https://cdn.shopify.com/s/files/1/2469/5441/files/P088.jpg?v=1718692498|https://cdn.shopify.com/s/files/1/2469/5441/files/R030-R_2.jpg?v=1718692258|https://cdn.shopify.com/s/files/1/2469/5441/files/P088_2.jpg?v=1718692499,,
J910,TRUE,Fractals,One of A Kind Natural Black Diamond Ring With Multi Cut Diamonds,Ring,0.95,Mixed,Natural Diamond,14K,Rose,6.5 (53),1408,750,2900,,https://dianarafael.com/products/fractals-one-of-a-kind-natural-black-diamond-ring-set-with-triangle-trapoized-emeralds-cut-diamonds,https://cdn.shopify.com/s/files/1/2469/5441/files/8a3f73fb-98a2-5b71-b64c-995394267880.jpg?v=1718522603|https://cdn.shopify.com/s/files/1/2469/5441/files/08877b4c-9ebf-5f57-ae01-5099d9712f18.jpg?v=1718522604|https://cdn.shopify.com/s/files/1/2469/5441/files/0e2b5435-228c-59aa-89f1-58e2a4549af1.jpg?v=1718522606,,
J939,TRUE,Firework,14K White Gold Engagement Ring,Ring,2.11,Cushion,Natural Diamond (Clarity Enhanced),14K,White,8 (57),6763,2000,7800,,https://dianarafael.com/products/2-carats-cushion-diamond-engagement-ring-2?_pos=3&_sid=20b728ca1&_ss=r,https://dianarafael.com/cdn/shop/products/0efd2862-2523-50d0-a5c8-d6b2dbd8edb9.jpg?v=1682589558&width=600,,
J950,FALSE,,0.91ct Round Natural Black Diamond Pendant,Pendant,0.91,Round,Natural Diamond,14K,Rose,,668,499,,,,,,
J972,TRUE,Waxing Gibbous,Crescent Natural Black Diamond Oval Engagement Ring,Ring,2.86,Oval,Natural Diamond,14K,Rose,5.5 (51),1714,1100,4300,,https://dianarafael.com/products/waxing-gibbous-crescent-natural-black-diamond-oval-engagement-ring-in-rose-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/04b5faa5-6031-519b-aae3-9adbfa4fe81f.jpg?v=1719818086|https://cdn.shopify.com/s/files/1/2469/5441/files/cd38652c-4170-54c0-a42f-8aaf4f585009.jpg?v=1719818089|https://cdn.shopify.com/s/files/1/2469/5441/files/b5802583-f1ca-547c-b849-898ba48b64bd.jpg?v=1719818093,https://dianarafael.com/cdn/shop/files/E022-YG_1.jpg?v=1733124456&width=600,
J984,TRUE,Triangulum,Oriented Natural Black Diamond Triangle Engagement Ring,Ring,2.3,Triangle,Natural Diamond,14K,Yellow,6 (52),2066,1100,4300,,https://dianarafael.com/products/triangulum-oriented-natural-black-diamond-triangle-engagement-ring-in-yellow-gold,https://cdn.shopify.com/s/files/1/2469/5441/files/879081f3-3bb0-5364-b9e5-bcb199c3d7d3.jpg?v=1719134616|https://cdn.shopify.com/s/files/1/2469/5441/files/b91f0be7-6483-512e-a831-f858c2e08811.jpg?v=1719134619|https://cdn.shopify.com/s/files/1/2469/5441/files/2a339a87-c654-570f-a3fb-128bbf27ea25.jpg?v=1719134621,https://dianarafael.com/cdn/shop/products/a3272f26-f5e6-5173-a21d-312c509ddcfb.jpg?v=1610716298&width=600,
J986,TRUE,Pera Scura,Art Deco Natural Black Diamond Marquise Engagement Ring in Rose Gold,Ring,4.76,Pear,Natural Diamond,14K,Yellow,5.5 (51),2349,1400,5450,,https://dianarafael.com/products/pera-scura-semi-bezel-natural-black-diamond-elongated-pear-engagement-ring-in-yellow-gold,https://dianarafael.com/cdn/shop/files/2ab25e5e-d4c3-54b1-863e-16094e9abc33.jpg?v=1719997774&width=600,https://dianarafael.com/cdn/shop/files/J1411-3.png?v=1784188373&width=600,
J1681,TRUE,Tianhe,3.87 Carats Natural Diamond EAst-West Radiant Cut Eternity RIng in Platinum,Ring,3.87,Radiant,Natural Diamond,Platinum,White,5.25 (50),8500,5000,19450,Not Resizeable!,https://dianarafael.com/products/3-87-carats-natural-diamond-east-west-radiant-cut-eternity-ring-in-platinum,https://dianarafael.com/cdn/shop/files/ChatGPTImageJun17_2026_05_25_47PM.png?v=1784630330&width=600,,